10330,MMP3
10331,NCF1
10332,KIF20A
10333,CDKN1C
10334,SOX2
10335,MT1A
10336,OCLN
10337,SIRT1
10338,IGFBP5
10339,FOXO3
10340,CITED2
10341,MSH2
10342,FYN
10343,EHHADH
10344,KDR
10345,CCL3
10346,PDIA3
10347,MCM6
10348,LDLR
10349,TH
10350,OGG1
10351,GFAP
10352,SNAI2
10353,NRG1
10354,EIF2AK3
10355,GGT1
10356,NDRG1
10357,IL12B
10358,PPP1R15A
10359,LGALS3
10360,CEBPA
10361,APOE
10362,GADD45B
10363,S100A9
10364,CCN1
10365,NPM1
10366,AFP
10367,NCF2
10368,PLAT
10369,DCN
10370,ABCB4
10371,CENPF
10372,LHB
10373,UGT2B1
10374,ID3
10375,KLK3
10376,PTK2
10377,SMAD2
10378,MCM7
10379,ADM
10380,STAR
10381,TGFA
10382,BIRC2
10383,PMP22
10384,PROM1
10385,SERPINB2
10386,NANOG
10387,AKT2
10388,BUB1
10389,CYP7B1
10390,LMNB1
10391,IGFBP4
10392,MAD2L1
10393,LYN
10394,MSMO1
10395,PLAUR
10396,MMP1
10397,GADD45G
10398,HES1
10399,PBK
10400,ACSL1
10401,CCNE2
10402,HPRT1
10403,SREBF2
10404,TIMP3
10405,PRKCB
10406,SMAD3
10407,AKR1B10
10408,ANXA1
10409,HMGB1
10410,PHGDH
10411,LITAF
10412,CASP2
10413,HK2
10414,GSS
10415,MBP
10416,HDAC1
10417,TNFRSF1A
10418,SLC3A2
10419,INS1
10420,LOX
10421,CALR
10422,NUSAP1
10423,CTH
10424,GAPDH
10425,TGFBR2
10426,SQLE
10427,RGS2
10428,ABCC5
10429,CYP26A1
10430,CYP3A2
10431,ARG1
10432,CYP4A10
10433,CKS2
10434,THBS1
10435,PLK2
10436,ANXA4
10437,CYP7A1
10438,APOC3
10439,SFN
10440,ABCB1A
10441,ANPEP
10442,NAMPT
10443,MCM4
10444,GPX4
10445,TAP1
10446,PRKDC
10447,TGFB2
10448,IFIT1
10449,NR1H4
10450,NOX4
10451,PRKCD
10452,NRP1
10453,ABCG5
10454,CROT
10455,RAC1
10456,UNG
10457,FKBP5
